0x1f615	ਕਿਹੜਾ,
0x1f449	ਸੱਜੇ,
0x1f614	ਉਦਾਸ,ਸੋਚ,
0x274c	ਰੱਦ ਕਰੋ,ਗੁਣਾ,
0x1f600	ਮੂੰਹ,ਖ਼ੁਸ਼,ਖੁਸ਼,ਚੰਗਾ,ਮੁਸਕਾਨ,
0x1f60a	ਗਰਬੀਲਾ,ਡਰਪੋਕ,ਗੁਲਾਬੀ,ਕਰਾਰ,
0x1f604	ਸ਼ੁਕਰ,
0x1f602	ਖੁਸ਼ੀ,ਅਸ਼ਕ,ਗਲੇਡੂ,ਤਮਾਸ਼ਾ,
0x1f606	ਰਜਿਆ,ਆਸ,ਜਿਹਾ,
0x1f64f	ਆਸ,
0x2796	ਦਰਿਆ,
0x1f46b	ਜੁਟ,
0x1f447	ਤਲੇ,ਉਂਗਲੀ,ਹਸਤ,ਸੂਚਕ,ਬਿੰਦੂ,
0x1f4aa	ਪੱਠਾ,ਅਧਿਕਾਰ,
0x1f62d	ਸਿਸਕੀ,
0x1f61b	ਜੀਭ,
0x1f61d	ਡਰਾਉਣਾ,ਚੇਟਕ,ਫਿਕ੍ਕਾ,ਮਤਲੀ,
0x1f636	ਸ਼ਾਂਤ,ਖ਼ਾਮੋਸ਼,ਬਟਣ,
0x1f622	ਰੋਵੋ,ਉਦਾਸ,
0x231a	ਘੜੀ,
0x1f609	ਵਿੰਕ,ਝਲਕ,ਗੁਜ੍ਝਾ,ਚੈਕ,ਉਪਹਾਸ,
0x1f483	ਡਾਂਸਰ,ਗੇਂਦ,ਨਾਚ,
0x1f60e	ਉਜਲਾ,ਠੰਡਾ,ਐਨਕ,ਸੂਰਜ,ਏਜੰਟ,
0x1f44c	ਨਿਸਚਿਤ,ਪੈਸਾ,
0x1f385	ਕ੍ਰਿਸਮਸ,ਪਿਤਾ,
0x1f48f	ਅਸੀਂ,
0x1f468	ਆਦਮੀ,
0x1f44d	ਅੰਗੂਠਾ,ਵਧੀਆ,
0x1f626	ਕਿਵੇਂ,ਫਜ਼ੂਲਤਾ,
0x1f473	ਦਸਤਾਰ,ਇਸਲਾਮ,
0x1f601	ਅੱਖ,ਕਾਮਲ,ਦੰਦ,ਇਹ,
0x1f60d	ਪਿਆਰ,ਮਨੋਹਰ,ਦਿਲ,
0x1f647	ਖਿਮਾ,ਕਮਾਨ,ਵਿਚਾਰ,
0x1f448	ਉਂਗਲੀ,ਸੂਚਕ,ਬਿੰਦੂ,ਖੱਬਾ,
0x2753	ਸੁਆਲ,
0x1f38e	ਗੁਲਾਬੀ,ਤਿਓਹਾਰ,
0x2728	ਚਮਕ,ਤਾਰਾ,
0x1f603	ਮੂੰਹ,ਜ਼ਾਹਰ,ਆਮ,ਆਮ,
0x1f639	ਬਿੱਲੀ,
0x1f407	ਪਾਲਤੂ ਜਾਨਵਰ,
0x1f632	ਕਤਈ,
0x1f446	ਉਂਗਲੀ,ਹਸਤ,ਸੂਚਕ,ਬਿੰਦੂ,ਉਤਾਂਹ,
0x1f491	ਖਜੂਰ,
0x270a	ਮੁੱਠੀ,ਮੁੱਕਾ,ਰੁਕੋ,
0x1f380	ਜਸ਼ਨ,
0x2757	ਇਸ਼ਾਰਾ,ਵਿਸਰਾਮ,
0x1f621	ਗੁੱਸਾ,ਪਾਗਲ,ਕਰੋਧ,ਲਾਲ,
0x1f466	ਮੁੰਡਾ,ਛੋਟਾ,
0x1f445	ਸਰੀਰ,
0x1f607	ਕਲਪਨਾ-ਕਥਾ,ਨਿਰਦੋਸ਼,ਪੀਰ,
0x1f52b	ਬੰਦੂਕ,ਪਾਪੀ,ਚਸਕ,
0x1f401	ਚੂਹਾ,
0x1f470	ਵਹੁਟੀ,ਪਰਦਾ,ਵਿਵਾਹ,ਵਿਆਹ,
0x270b	ਕਾਗਜ਼,ਹਥੇਲੀ,
0x1f62e	ਰਹਿਮ,
