0x1f615	परेशान,क्या,भ्रूभंग,बद नज़र,भौह चढ़ाना,
0x1f602	हर्ष,हँसना,आँसू,ठहाका,आँसू,मनोरंजक,शोरगुल करते हुए,कोलहल मचाते हुए,मज़ा,मजेदार,
0x1f636	ख़ामोश,चुप,बटन,बंद करना,अनसोचे,बिना सोचे-विचारे,
0x1f468	आदमी,आदमी,
0x1f61d	भयानक,स्वाद,बेस्वाद,जी मिचलाना,
0x1f447	बैकहैंड,नीचे,उंगली,हाथ,सूची,बिंदु,
0x1f61c	चिढ़ाना,छेड़ना,
0x1f64f	पूछना,कृपया,प्रार्थना करना,आशा,
0x1f62e	सहानुभूति,
0x1f449	दिखाना,दाहिना,
0x1f612	अप्रसन्न,अप्रसन्न,उबाऊ,असहमत होना,कुंठित,सुस्त,
0x1f60a	शरमाना,गर्व,शर्मीला,आनन्द,लाल,गुलाबी,सुर्ख,संतोष,संतुष्टि,प्लावित,उत्साहित करना,झपटना,
0x1f60e	चमकीला,ठंडा,चश्मा,सूर्य,धूपचश्मा,स्टाइलिश,सजीला,सुरूप,एजेंट,
0x1f601	आँख,मुंह दबाकर हंसना,संपूर्ण,दांत,शैतानी,वह,अच्छा,
0x1f6a9	पद,
0x1f603	मुँह,खोलना,सामान्य,साधारण,हर्षित,
0x1f609	आँख मारना,टिमटिमाना,रहस्य,चेक,चुटकुला,
0x1f60d	प्रेम,प्यारा,अनुरक्त,दिल,
0x1f621	क्रोधित,पागल,रोष,लाल,परेशान करना,उदास,आलसी,
0x1f600	चेहरा,मुस्कराहट,सहमत,प्रसन्न,हंसमुख,सहमत होना,मौजी,अच्छा,मुस्कान,
0x1f606	संतुष्ट,विश्वास,उतेजित,पसंद करना,प्यारा,
0x1f61b	जीभ,मजाक,
0x1f610	भावहीन,तटस्थ,चेन,नहीं,भावशून्य,
0x1f60f	कृत्रिम मुस्कुराहट,बुद्धि,पढ़ना,डरपोक,चापलूस,उपहास,बनावटी ढंग से मुस्कुराना,
0x1f604	धन्यवाद,मोटे तौर पर,
0x1f44d	अंगूठा,सर्वोत्तम,
0x1f623	डटा रहना,अनिच्छा,दर्द,दर्द,कठिन प्रयास,आहत,
0x1f622	रोना,उदासी,उदास,गमगीन,
0x1f339	दोष-स्वीकृति,गुलाब,
0x1f1ee,0x1f1f9	इटली,
0x1f62d	नीचे,चिल्लाना,रोना,विलाप,चीक,ज़ोर से चिल्लाना,कीक मारना,
0x26f3	गोल्फ,छेद,
0x1f44f	ताली बजाना,जय-जयकार,
0x1f639	बिल्ली,
0x270b	कागज,हथेली,
0x1f49e	घूमने वाला,
0x1f618	चुम्बन,चूमना,अलविदा,तमाचा,लुभाना,
0x1f611	भावशून्य,भावशून्य,अल्पभाषिता,चिडचिडापन,नापसंद करना,ऊबा हुआ,
0x2728	चमकना,तारा,
0x1f60b	स्वादिष्ट,चाटना,स्वादिष्ट,
0x1f617	चेहरा,चुम्बन,चूमना,
0x1f605	ठंडा,पसीना,बेचैनी,घबराहट,भद्दा,उलझन,शर्मीला,घबड़ाहट,
0x270a	मुट्ठी,मुक्का,हुक,रोकना,
0x1f44e	नीचे,मरना,बुरा,
0x1f490	फूल,पुष्प,फूलों का गुच्छ,गुलदस्ता,गुलदस्ता,
0x1f625	निराश,चिंतामुक्त,विकलता,निराश,हताश,सचमुच,शर्मिंदगी,
0x1f44c	निश्चित,पैसा,
0x1f61e	चिंता,हताश करना,मनतोडना,भिक्षा मांगना,अंधेरा,
0x2753	प्रश्न,
0x1f64c	उत्सव,वाह,धकेलना,
0x1f620	क्रोध,
0x1f626	तेवर,भ्रूभंग,कैसे,मूर्खता,
0x1f341	गिर रहा है,गिरनेवाला,पत्ता,मेपल,एक प्रकार का छायादार वृक्ष,
0x1f613	माफ़ कीजिये,बीमार,जर्जर,
0x1f62f	चुप रहना,हैरानी भरा,आश्चर्यचकित,
0x1f62c	मुँह बनाना,पाल,
0x1f633	घबड़ाया हुआ,पछाड़ देने वाला,आश्चर्यचकित,
0x1f627	दुखी,व्यथा,क्यों,
0x1f338	खिलना,चेरी,वसंत,
0x1f614	उदास,चिंताग्रस्त,हतोत्साह करना,इस्तीफा देना,सोच,
0x1f448	बैकहैंड,उंगली,सूची,बिंदु,बायें,रिवाल्वर,
0x1f33a	फूल,
0x1f607	फ़रिश्ता,कल्पना,प्रभामंडल,बेगुनाह,संत,
0x1f343	फड़फड़ाना,हवा,सुनसान,नीरस,अकेला,तूफ़ानी,
0x1f3c3	मैराथन,दौड़ना,दौड़,पानी का छींटा,पलायन,निकास,
0x1f60c	आराम,आराम करें,
0x2615	पेय पदार्थ,कॉफ़ी,गरम,भाप निकलना,चाय,जावा,
0x1f525	ज्वाला,जलता हुआ,ज्वाला,आग,
0x1f337	स्नेह,
0x2705	निशान,अंक,चिह्न,पक्का करना,
0x1f494	टूटना,टूटा हुआ,तलाक,
0x1f638	बिल्ली,आँख,चेहरा,मुस्कराहट,मुस्कान,
0x1f61f	चिंतित,चिंता,भय,बच्चे,
0x1f637	डाक्टर,नकाब,दवा,ढेला,इंफ्लुएंजा,बीमार,संक्रामक ज़ुकाम,फ़्लू,
0x1f44a	मारना,
0x1f483	नृत्य,नर्तकी,गेंद,नृत्य,
0x1f631	चबाना,चीख,
0x274c	रद्द करना,गुणा,गुणा करना,
0x1f6b6	पदयात्रा,चलना,चलना,सैर करना,
0x1f64b	उठा हुआ,नमस्ते,अभिवादन,मुझे,मैं,
